Substation,P_gross,Q_net,storage,solar,wind,hydro,other
PEHE,85.0,35.5,10.0,65.0,143.0,0.0,16.0
STEW,533.0,-119.4,111.0,458.0,438.0,0.0,132.0
HAWP,199.0,-47.699999999999996,42.0,270.0,147.0,1.0,51.0
HARK,646.0,134.4,94.0,930.0,558.0,30.0,200.0
BLHI,73.0,-14.0,17.0,146.0,256.0,3.0,52.0
COCK,409.0,24.399999999999995,40.0,242.0,392.0,1.0,85.0
HUNE,250.0,20.6,42.0,95.0,321.0,31.0,68.0
LOAN,441.0,63.5,59.0,275.0,355.0,7.0,120.0
NORT,377.0,-112.6,148.0,388.0,180.0,1.0,666.0
STHA,329.0,-17.70000000000001,5.0,103.0,306.0,119.0,94.0
TEAL,155.84,-8.7,19.0,329.0,86.0,10.0,50.0
TUMM,51.0,66.6,0.0,46.0,1.0,95.0,9.0
WIYH,371.0,-19.599999999999998,82.0,167.0,174.0,79.0,37.0
BEAU,192.0,1.9000000000000004,4.0,114.0,112.0,102.0,12.0
KINT,167.0,-3.200000000000001,15.0,162.0,168.0,6.0,25.0
NGET,21304.0,-3751.0000000000023,6036.0,32388.0,5007.0,113.0,9752.0
